#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:99 out:100 type:b dur:2 cpbdur:2 q:41.75 aq:43.83 tex:8013 mv:9087 misc:2540 imb:80 pmb:805 smb:2715 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:41.68 aq:39.82 tex:69943 mv:21274 misc:2463 imb:1261 pmb:1104 smb:1235 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:41.70 aq:42.18 tex:20035 mv:16737 misc:3052 imb:184 pmb:1301 smb:2115 d:t ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:41.72 aq:44.20 tex:8822 mv:9389 misc:2525 imb:89 pmb:810 smb:2701 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:41.69 aq:44.50 tex:9322 mv:8802 misc:2428 imb:78 pmb:783 smb:2739 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:41.70 aq:40.15 tex:66938 mv:21239 misc:2479 imb:1231 pmb:1103 smb:1266 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:41.69 aq:42.70 tex:21698 mv:16830 misc:3048 imb:252 pmb:1248 smb:2100 d:t ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:41.68 aq:44.42 tex:7719 mv:8341 misc:2284 imb:68 pmb:741 smb:2791 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:41.69 aq:44.74 tex:8381 mv:8386 misc:2289 imb:76 pmb:764 smb:2760 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:41.72 aq:40.38 tex:72784 mv:21581 misc:2395 imb:1330 pmb:1084 smb:1186 d:s ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:41.71 aq:42.47 tex:20542 mv:16487 misc:3083 imb:236 pmb:1267 smb:2097 d:t ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:41.71 aq:45.04 tex:8204 mv:9167 misc:2389 imb:101 pmb:766 smb:2733 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:41.72 aq:44.05 tex:9297 mv:9185 misc:2502 imb:110 pmb:782 smb:2708 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:41.78 aq:41.13 tex:74930 mv:21896 misc:2454 imb:1423 pmb:1072 smb:1105 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:41.75 aq:42.01 tex:21577 mv:17891 misc:3148 imb:216 pmb:1411 smb:1973 d:t ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:41.74 aq:43.99 tex:9382 mv:9468 misc:2550 imb:107 pmb:833 smb:2660 d:s ref:0 ;
